,Team1,Team2,city1,city2,airfare,coords1,coords2,dist,car_fare,fare,min_fare
68,Baltimore Orioles,Colorado Rockies,"Washington, DC (Metropolitan Area)","Denver, CO",247.12,"(39.28388889, -76.62166667)","(39.75611111, -104.9941667)",1506.6914,137.69485294444445,247.12,137.69485294444445
69,Baltimore Orioles,Detroit Tigers,"Washington, DC (Metropolitan Area)","Detroit, MI",199.62,"(39.28388889, -76.62166667)","(42.33916667, -83.04861111)",396.8404,36.26680322222222,199.62,36.26680322222222
70,Baltimore Orioles,Houston Astros,"Washington, DC (Metropolitan Area)","Houston, TX",244.32,"(39.28388889, -76.62166667)","(29.75694444, -95.35555556)",1249.805,114.2182902777778,244.32,114.2182902777778
71,Baltimore Orioles,Kansas City Royals,"Washington, DC (Metropolitan Area)","Kansas City, MO",227.08,"(39.28388889, -76.62166667)","(39.05138889, -94.48055556)",955.5474,87.32641516666668,227.08,87.32641516666668
72,Baltimore Orioles,Los Angeles Angels,"Washington, DC (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",300.19,"(39.28388889, -76.62166667)","(33.80027778, -117.8827778)",2302.1174,210.3879512777778,300.19,210.3879512777778
73,Baltimore Orioles,Los Angeles Dodgers,"Washington, DC (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",300.19,"(39.28388889, -76.62166667)","(34.07361111, -118.24)",2314.2697,211.4985364722222,300.19,211.4985364722222
74,Baltimore Orioles,Miami Marlins,"Washington, DC (Metropolitan Area)","Miami, FL (Metropolitan Area)",178.93,"(39.28388889, -76.62166667)","(25.77805556, -80.21972222)",956.4729,87.41099558333333,178.93,87.41099558333333
75,Baltimore Orioles,Milwaukee Brewers,"Washington, DC (Metropolitan Area)","Milwaukee, WI",200.68,"(39.28388889, -76.62166667)","(43.02833333, -87.97111111)",644.1149,58.864945027777786,200.68,58.864945027777786
76,Baltimore Orioles,Minnesota Twins,"Washington, DC (Metropolitan Area)","Minneapolis/St. Paul, MN",216.04,"(39.28388889, -76.62166667)","(44.98166667, -93.27833333)",937.8474,85.70883183333333,216.04,85.70883183333333
77,Baltimore Orioles,New York Mets,"Washington, DC (Metropolitan Area)","New York City, NY (Metropolitan Area)",193.83,"(39.28388889, -76.62166667)","(40.75694444, -73.84583333)",178.7351,16.334402194444444,193.83,16.334402194444444
78,Baltimore Orioles,New York Yankees,"Washington, DC (Metropolitan Area)","New York City, NY (Metropolitan Area)",193.83,"(39.28388889, -76.62166667)","(40.82916667, -73.92638889)",178.133,16.279376944444447,193.83,16.279376944444447
79,Baltimore Orioles,Oakland Athletics,"Washington, DC (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",354.37,"(39.28388889, -76.62166667)","(37.75166667, -122.2005556)",2440.7084,223.0536287777778,354.37,223.0536287777778
